sarcomere_length_nm,force_pN_min,force_pN_central,force_pN_max,status,reason,parameter_set_id,model_fingerprint,app_revision,build_inputs_fingerprint,export_contract_fingerprint
1900,,,,not_evaluated,Below the SD-04-approved slack or buckling boundary; equilibrium tensile force is not evaluated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
1934,,,,not_evaluated,Below the SD-04-approved slack or buckling boundary; equilibrium tensile force is not evaluated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
1969,,,,not_evaluated,Below the SD-04-approved slack or buckling boundary; equilibrium tensile force is not evaluated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2003,0.09374752702852598,0.17767540700469425,0.23916692085508923,supported,Inside the SD-04-approved supported interval.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2038,0.11203736290534119,0.210339573080007,0.28145421527557557,supported,Inside the SD-04-approved supported interval.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2072,0.1334218886424542,0.2474831112164475,0.3287504453527399,supported,Inside the SD-04-approved supported interval.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2106,0.15964319516482628,0.29147010252892,0.38366960582843634,supported,Inside the SD-04-approved supported interval.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2141,0.19355095918207182,0.3458882261280919,0.4500339048613423,supported,Inside the SD-04-approved supported interval.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2175,0.2356996198032194,0.4099725559496765,0.5261251932738065,supported,Inside the SD-04-approved supported interval.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2209,0.2811535788464963,0.48775941176576265,0.6158691356069335,supported,Inside the SD-04-approved supported interval.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2244,0.3145518718607797,0.5850411948502621,0.7247789065879364,supported,Inside the SD-04-approved supported interval.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2278,0.3499665094257379,0.6988477177067629,0.8485608123496915,supported,Inside the SD-04-approved supported interval.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2313,0.3896911559758791,0.8379123811656217,0.995979169727498,supported,Inside the SD-04-approved supported interval.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2347,0.4316443421108239,0.9953391966128042,1.1594731163329546,supported,Inside the SD-04-approved supported interval.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2381,0.4770884235804125,1.174894978498883,1.3931094859694486,supported,Inside the SD-04-approved supported interval.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2416,0.5276969317361608,1.382236037600213,1.665412664996469,extrapolated,Outside the approved supported interval; quantitative output is extrapolated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2450,0.5807616597480745,1.6045591597184101,1.958842884203671,extrapolated,Outside the approved supported interval; quantitative output is extrapolated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2484,0.6378717937784166,1.8465029569848666,2.278743302306059,extrapolated,Outside the approved supported interval; quantitative output is extrapolated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2519,,,,not_evaluated,At or above the SD-04-approved unfolding-materiality boundary; omitted physics makes force not evaluated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2553,,,,not_evaluated,At or above the SD-04-approved unfolding-materiality boundary; omitted physics makes force not evaluated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2588,,,,not_evaluated,At or above the SD-04-approved unfolding-materiality boundary; omitted physics makes force not evaluated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2622,,,,not_evaluated,At or above the SD-04-approved unfolding-materiality boundary; omitted physics makes force not evaluated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2656,,,,not_evaluated,At or above the SD-04-approved unfolding-materiality boundary; omitted physics makes force not evaluated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2691,,,,not_evaluated,At or above the SD-04-approved unfolding-materiality boundary; omitted physics makes force not evaluated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2725,,,,not_evaluated,At or above the SD-04-approved unfolding-materiality boundary; omitted physics makes force not evaluated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2759,,,,not_evaluated,At or above the SD-04-approved unfolding-materiality boundary; omitted physics makes force not evaluated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2794,,,,not_evaluated,At or above the SD-04-approved unfolding-materiality boundary; omitted physics makes force not evaluated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2828,,,,not_evaluated,At or above the SD-04-approved unfolding-materiality boundary; omitted physics makes force not evaluated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2863,,,,not_evaluated,At or above the SD-04-approved unfolding-materiality boundary; omitted physics makes force not evaluated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2897,,,,not_evaluated,At or above the SD-04-approved unfolding-materiality boundary; omitted physics makes force not evaluated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2931,,,,not_evaluated,At or above the SD-04-approved unfolding-materiality boundary; omitted physics makes force not evaluated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2966,,,,not_evaluated,At or above the SD-04-approved unfolding-materiality boundary; omitted physics makes force not evaluated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
3000,,,,not_evaluated,At or above the SD-04-approved unfolding-materiality boundary; omitted physics makes force not evaluated.,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,dcdb403a759bd3df1f7d7bc821f3a73aeeb10caa,0d4877e8a7ce243caa7f8222cbb5d6d11101c0f0c7c756c4cda58408a8aef907,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
