sarcomere_length_nm,region_id,extension_nm,added_length_nm,incremental_compliance_share,status,parameter_set_id,model_fingerprint,app_revision,build_inputs_fingerprint,export_contract_fingerprint
1900,prox_Ig,84.54418947947069,0,,not_evaluated,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,5d5f02d1a8699579cc775103c0cba793619aaa57,0b16efc4b581fd91a7b07112f0f8989ed463990363ff288e56d60241e782e720,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
1900,N2A,16.220580276595392,0,,not_evaluated,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,5d5f02d1a8699579cc775103c0cba793619aaa57,0b16efc4b581fd91a7b07112f0f8989ed463990363ff288e56d60241e782e720,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
1900,PEVK,5.955405491615885,0,,not_evaluated,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,5d5f02d1a8699579cc775103c0cba793619aaa57,0b16efc4b581fd91a7b07112f0f8989ed463990363ff288e56d60241e782e720,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
1900,dist_Ig,18.279824752317985,0,,not_evaluated,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,5d5f02d1a8699579cc775103c0cba793619aaa57,0b16efc4b581fd91a7b07112f0f8989ed463990363ff288e56d60241e782e720,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
1900,post_N2A_unknown,0,0,,not_evaluated,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,5d5f02d1a8699579cc775103c0cba793619aaa57,0b16efc4b581fd91a7b07112f0f8989ed463990363ff288e56d60241e782e720,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
1934,prox_Ig,97.46910630717946,12.92491682770877,,not_evaluated,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,5d5f02d1a8699579cc775103c0cba793619aaa57,0b16efc4b581fd91a7b07112f0f8989ed463990363ff288e56d60241e782e720,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
1934,N2A,16.266395778297298,0.04581550170190596,,not_evaluated,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,5d5f02d1a8699579cc775103c0cba793619aaa57,0b16efc4b581fd91a7b07112f0f8989ed463990363ff288e56d60241e782e720,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
1934,PEVK,7.190096550808695,1.2346910591928104,,not_evaluated,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,5d5f02d1a8699579cc775103c0cba793619aaa57,0b16efc4b581fd91a7b07112f0f8989ed463990363ff288e56d60241e782e720,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
1934,dist_Ig,21.07440136371448,2.7945766113964936,,not_evaluated,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,5d5f02d1a8699579cc775103c0cba793619aaa57,0b16efc4b581fd91a7b07112f0f8989ed463990363ff288e56d60241e782e720,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
1934,post_N2A_unknown,0,0,,not_evaluated,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,5d5f02d1a8699579cc775103c0cba793619aaa57,0b16efc4b581fd91a7b07112f0f8989ed463990363ff288e56d60241e782e720,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
1969,prox_Ig,110.64588876237751,26.10169928290682,,not_evaluated,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,5d5f02d1a8699579cc775103c0cba793619aaa57,0b16efc4b581fd91a7b07112f0f8989ed463990363ff288e56d60241e782e720,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
1969,N2A,16.31917610101441,0.09859582441901793,,not_evaluated,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,5d5f02d1a8699579cc775103c0cba793619aaa57,0b16efc4b581fd91a7b07112f0f8989ed463990363ff288e56d60241e782e720,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
1969,PEVK,8.611499728526521,2.6560942369106364,,not_evaluated,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,5d5f02d1a8699579cc775103c0cba793619aaa57,0b16efc4b581fd91a7b07112f0f8989ed463990363ff288e56d60241e782e720,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
1969,dist_Ig,23.923435408081623,5.643610655763638,,not_evaluated,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,5d5f02d1a8699579cc775103c0cba793619aaa57,0b16efc4b581fd91a7b07112f0f8989ed463990363ff288e56d60241e782e720,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
1969,post_N2A_unknown,0,0,,not_evaluated,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,5d5f02d1a8699579cc775103c0cba793619aaa57,0b16efc4b581fd91a7b07112f0f8989ed463990363ff288e56d60241e782e720,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2003,prox_Ig,123.28856021603123,38.74437073656054,0.7383397128628642,supported,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,5d5f02d1a8699579cc775103c0cba793619aaa57,0b16efc4b581fd91a7b07112f0f8989ed463990363ff288e56d60241e782e720,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
2003,N2A,16.377356411536528,0.1567761349411363,0.0036568324336665077,supported,q8wz42-1-literature-bounded-force-law-SD-04-v2,7badc8e270e73e8bae3d84420448e6c79fee9e41bfdb0ca790484750ef329ef6,5d5f02d1a8699579cc775103c0cba793619aaa57,0b16efc4b581fd91a7b07112f0f8989ed463990363ff288e56d60241e782e720,a081b2a893b717ea345697c27f1edb074f0cb4d50f2e93dbd0604239c1f8c843
