title,journal,year,cites,type,doi,pmid,pmcid,isOA,facets,key,Titin domain architecture (Ig/Fn3),Titin elasticity & PEVK spring,Z-disc / Z-band,M-band / M-line,Thick filament / myosin,Thin filament / actin-tropomyosin,Sarcomere lattice & mechanics,Cryo-EM / structural biology,Titin signaling / kinase / N2B-N2A,Cardiac disease / cardiomyopathy,Skeletal muscle disease / myopathy,Phosphorylation / PTM,Isoforms & splicing
Myocardial stiffness in patients with heart failure and a preserved ejection fraction: contributions of collagen and titin.,Circulation,2015,539,,10.1161/circulationaha.114.013215,25637629.0,PMC4390480,N,"['titin_general', 'titin_mechanics']",10.1161/circulationaha.114.013215,False,True,False,False,False,False,False,False,True,True,False,True,True
HEART DISEASE. Titin mutations in iPS cells define sarcomere insufficiency as a cause of dilated cardiomyopathy.,"Science (New York, N.Y.)",2015,481,,10.1126/science.aaa5458,26315439.0,PMC4618316,N,['titin_general'],10.1126/science.aaa5458,False,False,False,False,False,False,False,False,False,True,True,False,False
"Integrated allelic, transcriptional, and phenomic dissection of the cardiac effects of titin truncations in health and disease.",Science translational medicine,2015,398,,10.1126/scitranslmed.3010134,25589632.0,PMC4560092,N,['titin_general'],10.1126/scitranslmed.3010134,False,False,False,False,False,False,False,False,False,True,True,False,True
Titin-truncating variants affect heart function in disease cohorts and the general population.,Nature genetics,2017,282,,10.1038/ng.3719,27869827.0,PMC5201198,Y,['titin_general'],10.1038/ng.3719,False,False,False,False,False,False,False,False,False,True,True,False,False
RBM20 Regulates Circular RNA Production From the Titin Gene.,Circulation research,2016,246,,10.1161/circresaha.116.309568,27531932.0,,N,['titin_general'],10.1161/circresaha.116.309568,False,False,False,False,False,False,False,False,False,True,True,False,True
Association Between Titin Loss-of-Function Variants and Early-Onset Atrial Fibrillation.,JAMA,2018,201,,10.1001/jama.2018.18179,30535219.0,PMC6436530,N,['titin_general'],10.1001/jama.2018.18179,False,False,False,False,False,False,False,False,False,True,False,False,False
Titin Gene and Protein Functions in Passive and Active Muscle.,Annual review of physiology,2018,169,,10.1146/annurev-physiol-021317-121234,29131758.0,,N,['titin_general'],10.1146/annurev-physiol-021317-121234,False,True,False,False,True,False,True,False,False,True,True,False,False
"Muscle structure, sarcomere length and influences on meat quality: A review.",Meat science,2017,156,,10.1016/j.meatsci.2017.04.261,28552497.0,,N,['sarcomere_architecture'],10.1016/j.meatsci.2017.04.261,False,False,True,False,True,True,True,False,False,False,False,False,False
Titin strain contributes to the Frank-Starling law of the heart by structural rearrangements of both thin- and thick-filament proteins.,Proceedings of the National Academy of Sciences of the United States of America,2016,154,,10.1073/pnas.1516732113,26858417.0,PMC4776536,N,"['thick_filament', 'titin_general']",10.1073/pnas.1516732113,False,False,False,False,True,True,True,True,False,False,False,False,True
Cryo-EM structure of the human cardiac myosin filament.,Nature,2023,147,,10.1038/s41586-023-06691-4,37914935.0,PMC10846670,N,['titin_cryoem'],10.1038/s41586-023-06691-4,False,False,False,False,True,True,False,True,False,True,False,False,False
Work Done by Titin Protein Folding Assists Muscle Contraction.,Cell reports,2016,143,,10.1016/j.celrep.2016.01.025,26854230.0,PMC4865255,N,['titin_general'],10.1016/j.celrep.2016.01.025,True,False,False,False,False,False,True,False,False,False,False,False,False
Truncating titin mutations are associated with a mild and treatable form of dilated cardiomyopathy.,European journal of heart failure,2017,142,,10.1002/ejhf.673,27813223.0,,N,['titin_general'],10.1002/ejhf.673,False,False,False,False,False,False,False,False,False,True,True,False,False
"Force Generation via β-Cardiac Myosin, Titin, and α-Actinin Drives Cardiac Sarcomere Assembly from Cell-Matrix Adhesions.",Developmental cell,2018,140,,10.1016/j.devcel.2017.12.012,29316444.0,PMC6421364,N,['titin_general'],10.1016/j.devcel.2017.12.012,False,False,True,False,False,False,False,False,False,True,True,False,False
"Titin cardiomyopathy leads to altered mitochondrial energetics, increased fibrosis and long-term life-threatening arrhythmias.",European heart journal,2018,138,,10.1093/eurheartj/ehx808,29377983.0,,N,['titin_general'],10.1093/eurheartj/ehx808,False,False,False,False,False,False,False,False,False,True,True,False,False
Structure of the native myosin filament in the relaxed cardiac sarcomere.,Nature,2023,129,,10.1038/s41586-023-06690-5,37914933.0,PMC10665186,Y,['sarcomere_architecture'],10.1038/s41586-023-06690-5,False,False,False,False,True,False,False,True,False,True,True,False,False
Role of titin in cardiomyopathy: from DNA variants to patient stratification.,Nature reviews. Cardiology,2018,127,,10.1038/nrcardio.2017.190,29238064.0,,N,['titin_general'],10.1038/nrcardio.2017.190,False,False,False,False,False,False,False,False,False,True,True,False,False
Genomics-First Evaluation of Heart Disease Associated With Titin-Truncating Variants.,Circulation,2019,125,,10.1161/circulationaha.119.039573,31216868.0,PMC6602806,N,['titin_general'],10.1161/circulationaha.119.039573,False,False,False,False,False,False,False,False,False,True,True,False,True
Titin mutation associated with responsiveness to checkpoint blockades in solid tumors.,JCI insight,2019,125,,10.1172/jci.insight.127901,31092729.0,PMC6542599,N,['titin_general'],10.1172/jci.insight.127901,False,False,False,False,False,False,False,False,False,False,False,False,False
The molecular basis for sarcomere organization in vertebrate skeletal muscle.,Cell,2021,125,,10.1016/j.cell.2021.02.047,33765442.0,PMC8054911,Y,['sarcomere_architecture'],10.1016/j.cell.2021.02.047,False,False,True,False,False,True,False,True,False,False,False,False,False
Rare truncating variants in the sarcomeric protein titin associate with familial and early-onset atrial fibrillation.,Nature communications,2018,117,,10.1038/s41467-018-06618-y,30333491.0,PMC6193003,Y,['titin_general'],10.1038/s41467-018-06618-y,False,False,False,False,False,False,False,False,False,True,False,False,False
The multiple roles of titin in muscle contraction and force production.,Biophysical reviews,2018,111,,10.1007/s12551-017-0395-y,29353351.0,PMC6082311,N,['titin_general'],10.1007/s12551-017-0395-y,False,False,False,False,False,False,True,False,False,False,False,False,False
Maturation status of sarcomere structure and function in human iPSC-derived cardiac myocytes.,Biochimica et biophysica acta,2016,109,,10.1016/j.bbamcr.2015.11.005,26578113.0,PMC4864165,N,['sarcomere_architecture'],10.1016/j.bbamcr.2015.11.005,False,False,False,False,False,False,True,False,False,True,False,False,False
Thick filament mechano-sensing is a calcium-independent regulatory mechanism in skeletal muscle.,Nature communications,2016,108,,10.1038/ncomms13281,27796302.0,PMC5095582,Y,['thick_filament'],10.1038/ncomms13281,False,False,False,False,True,True,False,True,False,False,False,False,False
Increasing Role of Titin Mutations in Neuromuscular Disorders.,Journal of neuromuscular diseases,2016,106,,10.3233/jnd-160158,27854229.0,PMC5123623,Y,['titin_general'],10.3233/jnd-160158,False,False,True,True,False,False,False,False,False,True,True,False,False
Truncated titin proteins and titin haploinsufficiency are targets for functional recovery in human cardiomyopathy due to <i>TTN</i> mutations.,Science translational medicine,2021,105,,10.1126/scitranslmed.abd3079,34731013.0,,N,['titin_general'],10.1126/scitranslmed.abd3079,False,False,False,True,False,False,False,False,False,True,True,False,True
