component,quantity,value,units,year,doi,title
study cohort - referent control,patient count,17,n,2015,10.1161/circulationaha.114.013215,Myocardial stiffness in patients with heart failure and a preserved ejection fraction: contributions of collagen and titin.
study cohort - hypertension without HFpEF,patient count,31,n,2015,10.1161/circulationaha.114.013215,Myocardial stiffness in patients with heart failure and a preserved ejection fraction: contributions of collagen and titin.
study cohort - hypertension with HFpEF,patient count,22,n,2015,10.1161/circulationaha.114.013215,Myocardial stiffness in patients with heart failure and a preserved ejection fraction: contributions of collagen and titin.
titin phosphorylation site,PEVK domain residue position,11878,S (serine),2015,10.1161/circulationaha.114.013215,Myocardial stiffness in patients with heart failure and a preserved ejection fraction: contributions of collagen and titin.
titin phosphorylation site,N2B domain residue position,4185,S (serine),2015,10.1161/circulationaha.114.013215,Myocardial stiffness in patients with heart failure and a preserved ejection fraction: contributions of collagen and titin.
sarcomere,length range,2.0–2.4,μm,2016,10.1073/pnas.1516732113,Titin strain contributes to the Frank-Starling law of the heart by structural rearrangements of both thin- and thick-filament proteins.
titin Ig domains,unfolding/folding force range,6-8,pN,2016,10.1016/j.celrep.2016.01.025,Work Done by Titin Protein Folding Assists Muscle Contraction.
titin Ig domains,spontaneous folding force threshold,10,pN,2016,10.1016/j.celrep.2016.01.025,Work Done by Titin Protein Folding Assists Muscle Contraction.
titin Ig domains,energy per folding event,105,zJ,2016,10.1016/j.celrep.2016.01.025,Work Done by Titin Protein Folding Assists Muscle Contraction.
α-actinin cross-linked actin doublets,spacing,6,nm,2021,10.1016/j.cell.2021.02.047,The molecular basis for sarcomere organization in vertebrate skeletal muscle.
"myosin, tropomyosin, actin structures",resolution,~10,Å,2021,10.1016/j.cell.2021.02.047,The molecular basis for sarcomere organization in vertebrate skeletal muscle.
TTN gene,coding exons,363,count,2016,10.3233/jnd-160158,Increasing Role of Titin Mutations in Neuromuscular Disorders.
titin protein,sarcomeric span,Z-disk to M-band,anatomical region,2016,10.3233/jnd-160158,Increasing Role of Titin Mutations in Neuromuscular Disorders.
TTNtv prevalence in DCM cohort,fraction of patients with identified TTNtv,22,out of 113 patients (19.5%),2021,10.1126/scitranslmed.abd3079,Truncated titin proteins and titin haploinsufficiency are targets for functional recovery in human cardiomyopathy due to <i>TTN</i> mutations.
truncated titin protein expression,maximum proportion of total titin protein pool,0.5,fraction (up to half),2021,10.1126/scitranslmed.abd3079,Truncated titin proteins and titin haploinsufficiency are targets for functional recovery in human cardiomyopathy due to <i>TTN</i> mutations.
titin I27 immunoglobulin domain,critical force (equilibrium unfolding/folding),5.4,pN,2015,10.1021/ja5119368,Dynamics of equilibrium folding and unfolding transitions of titin immunoglobulin domain under constant forces.
titin molecular spring,exons deleted,47,exons,2018,10.7554/elife.40532,Downsizing the molecular spring of the giant protein titin reveals that skeletal muscle titin determines passive stiffness and drives longitudinal hypertrophy.
sarcomeres in series,increase in number,30,%,2018,10.7554/elife.40532,Downsizing the molecular spring of the giant protein titin reveals that skeletal muscle titin determines passive stiffness and drives longitudinal hypertrophy.
titin I-band Ig domains,fraction containing conserved cysteine triad,21,%,2018,10.1038/s41467-017-02528-7,Disulfide isomerization reactions in titin immunoglobulin domains enable a mode of protein elasticity.
Filamin C (FLNC),immunoglobulin-like repeats,24,count,2020,10.3390/ijms21082696,Structure and Function of Filamin C in the Muscle Z-Disc.
Filamin C (FLNC),insertion in repeat 20,82,amino acid residues,2020,10.3390/ijms21082696,Structure and Function of Filamin C in the Muscle Z-Disc.
titin phosphorylation site,S4099 phosphorylation state,hypophosphorylated,qualitative,2018,10.1161/circresaha.117.312166,Diabetes-Induced Cardiomyocyte Passive Stiffening Is Caused by Impaired Insulin-Dependent Titin Modification and Can Be Modulated by Neuregulin-1.
titin phosphorylation site,S11878 phosphorylation state,hyperphosphorylated,qualitative,2018,10.1161/circresaha.117.312166,Diabetes-Induced Cardiomyocyte Passive Stiffening Is Caused by Impaired Insulin-Dependent Titin Modification and Can Be Modulated by Neuregulin-1.
titin phosphorylation site,S4010 phosphorylation response,increased by insulin/metformin,qualitative,2018,10.1161/circresaha.117.312166,Diabetes-Induced Cardiomyocyte Passive Stiffening Is Caused by Impaired Insulin-Dependent Titin Modification and Can Be Modulated by Neuregulin-1.
myosin head,periodicity change,observed only under active calcium-activated tension,qualitative,2018,10.1016/j.bpj.2018.08.038,Thick-Filament Extensibility in Intact Skeletal Muscle.
titin Ig domain,physiological force range,4-15,pN,2018,10.1146/annurev-physiol-021317-121254,The Work of Titin Protein Folding as a Major Driver in Muscle Contraction.
titin Ig domain,work generation relative to entropic recoil,200,%,2018,10.1146/annurev-physiol-021317-121254,The Work of Titin Protein Folding as a Major Driver in Muscle Contraction.
sarcomere,length range,2.5–6.0,μm,2016,10.1242/jeb.132027,Decreased force enhancement in skeletal muscle sarcomeres with a deletion in titin.
sarcomere length (psoas),range,1.93–3.37,μm,2016,10.1152/ajpcell.00156.2015,The increase in non-cross-bridge forces after stretch of activated striated muscle is related to titin isoforms.
sarcomere length (soleus),range,2.68–4.21,μm,2016,10.1152/ajpcell.00156.2015,The increase in non-cross-bridge forces after stretch of activated striated muscle is related to titin isoforms.
sarcomere length (ventricle),range,1.51–2.86,μm,2016,10.1152/ajpcell.00156.2015,The increase in non-cross-bridge forces after stretch of activated striated muscle is related to titin isoforms.
titin protein,molecular weight,3-4,MDa,2019,10.1007/s00424-019-02272-5,Titin mutations and muscle disease.
titin,sarcomeric span,0.5,sarcomere length (Z-disk to M-line),2019,10.1007/s00424-019-02272-5,Titin mutations and muscle disease.
TTN truncating variants,frequency in familial DCM,20,percent of cases,2019,10.1007/s00424-019-02272-5,Titin mutations and muscle disease.
denervated hemidiaphragm mass,mass increase,48 ± 3,%,2018,10.1002/jcsm.12319,Titin-based mechanosensing modulates muscle hypertrophy.
denervated hemidiaphragm mass change (RBM20^ΔRRM),hypertrophy response attenuation,20 ± 6,%,2018,10.1002/jcsm.12319,Titin-based mechanosensing modulates muscle hypertrophy.
