component,region,parameter,value,unit,species,isoform,muscle_type,biological_state,method,uncertainty,primary_source_doi,evidence_class,verified,verify_note
Sarcomere,whole,Resting/working length,2.0–2.4,µm,rat,—,cardiac (left-ventricular myocardium),diastolic working-length comparison,X-ray diffraction and mechanical testing,two experimental states; not universal,10.1073/pnas.1516732113,MEASURED,primary-source full text verified 2026-08-01,Documented experimental pair; not a universal muscle range.
Sarcomere,whole,Cross-study tested sarcomere-length span,1.51–4.4,µm,mammal,—,psoas/soleus/ventricle,active/passive stretch,microscopy and force measurements,union of study endpoints; not one physiological range,cross-study:SL-range,STRONGLY INFERRED,both primary-source full texts verified 2026-08-01,Combines Cornachione 2016 and Joumaa 2018 only as scope metadata.
Titin,whole,Molecular span,half-sarcomere (Z→M),—,chicken,all,skeletal,relaxed,immunoelectron-microscopy epitope mapping,"topology; terminal epitope 0.2 µm before M-line",10.1083/jcb.106.5.1563,MEASURED,primary-source full text verified 2026-08-01,Ten nonrepetitive epitopes map Z-line through I/A bands to near M-line.
Titin,whole,Molecular mass (isoform-dependent),2970–3830,kDa,rat,N2B and giant N2BA-G,cardiac (right ventricle),wild-type and homozygous mutant,SDS electrophoresis,two experimentally resolved isoforms,10.1152/ajpheart.00800.2011,MEASURED,primary-source full text verified 2026-08-01,Context only; not used to size the human skeletal N2A render.
Thick filament,A-band,Axial repeat period (myosin crowns),43.1,nm,mammal,—,cardiac,relaxed,cryo-EM/X-ray,±,10.1085/jgp.202012713,MEASURED,primary-source confirmed,"CONFIRMED Caremani 2021 (JGP): 43.1 nm myosin periodicity + 45.5 nm super-repeat, X-ray diffraction."
Thick filament,A-band,Myosin crowns per axial repeat,3,count,mammal,—,cardiac,relaxed,cryo-ET,exact,10.1073/pnas.2311883121,MEASURED,primary-source full text verified 2026-08-01,Three crowns per 429 Å repeat.
Thick filament,A-band,Crown axial spacing,14.3,nm,mammal,—,striated,relaxed,X-ray/cryo-ET,derived (approximately 43/3),10.1073/pnas.2311883121,STRONGLY INFERRED,primary-source full text verified 2026-08-01,Derived classification retained.
Titin,A-band C-zone,Super-repeat axial periodicity,45.5,nm,mammal,—,cardiac,relaxed,fiber diffraction,≈,10.1085/jgp.202012713,MEASURED,primary-source confirmed,CONFIRMED Caremani 2021: 45.5 nm.
Titin,A-band C-zone,Ig/Fn3 domains per super-repeat,11,count,human,A-band,striated,—,sequence,exact,10.1016/j.yjmcc.2019.05.026,MEASURED,primary-source full text verified 2026-08-01,Tonino et al. explicitly state the 11-domain pattern.
Titin,A-band C-zone,Number of C-zone super-repeats,11,count,human,A-band,striated,—,sequence,exact,10.1016/j.yjmcc.2019.05.026,MEASURED,primary-source full text verified 2026-08-01,Tonino et al. explicitly state the pattern is repeated 11 times.
Titin,general,Folded Ig/Fn3 domain axial length,~4,nm,—,—,—,folded,crystallography,≈4.0–4.4,10.1016/j.jmb.2020.06.025,MEASURED,primary-source full text verified 2026-08-01,Independently checked against coordinate-derived archetypes.
Titin,I-band N2A,N2A unique-seq contour length,39,nm,—,N2A,skeletal,extended,SMFS/modeling,model-derived,10.3389/fphys.2020.00173,STRONGLY INFERRED,primary-source confirmed,CONFIRMED fphys.2020: Lc ~39 nm (SMFS).
Titin,I-band N2A,N2A unique-seq persistence length,0.35,nm,—,N2A,skeletal,—,SMFS/WLC fit,fit,10.3389/fphys.2020.00173,STRONGLY INFERRED,primary-source confirmed,CONFIRMED fphys.2020: Lp 0.35 nm (range 0.34-0.44).
Titin,I-band UN2A,UN2A three-helix bundle length,45,residues,human,N2A,skeletal,folded,NMR (7NIP),approximately 45 residues,10.1016/j.jmb.2021.166901,MEASURED,primary-source full text verified 2026-08-01,Flexible flanking sequences remain unresolved.
Z-disc,Z-disc,Width (super-resolution),62,nm,mammal,—,skeletal,resting,nanobody super-resolution,approximately,10.1371/journal.pone.0300348,MEASURED,primary-source full text verified 2026-08-01,Approximately 62 nm with nanobodies.
Z-disc,Z-disc,α-actinin/actin doublet spacing,6,nm,vertebrate,—,skeletal,—,cryo-ET (~10 Å),approximately,10.1016/j.cell.2021.02.047,MEASURED,primary-source full text verified 2026-08-01,Approximately 6 nm alpha-actinin doublet separation.
Thin filament,I-band,Actin tip free of α-actinin links,5–7,nm,rat,—,cardiac,—,cryo-ET/modeling,range,10.1016/j.jmb.2015.08.018,MEASURED,primary-source full text verified 2026-08-01,Terminal actin segment in the Z-band reconstruction.
Thin filament,I-band,Thin-filament length (max at SL 3.0 µm),1.05,µm,mammal,—,cardiac,stretched,microscopy,SL-dependent,10.1016/j.yjmcc.2016.04.013,MEASURED,primary-source full text verified 2026-08-01,Maximum approximately 1.05 µm at SL approximately 3.0 µm.
