facet,title,journal,year,cites,doi,authors
active_force_debate,Titins: giant proteins in charge of muscle ultrastructure and elasticity.,,1995,876,10.1126/science.270.5234.293,"Labeit S, Kolmerer B."
granzier_titin,Folding-unfolding transitions in single titin molecules characterized with laser tweezers.,,1997,735,10.1126/science.276.5315.1112,"Kellermayer MS, Smith SB, Granzier HL, Bustamante C."
granzier_titin,"The complete gene sequence of titin, expression of an unusual approximately 700-kDa titin isoform, and its interaction with obscurin identify a novel Z-line to I-band linking system.",,2001,555,10.1161/hh2301.100981,"Bang ML, Centner T, Fornoff F, Geach AJ, Gotthardt M, McNabb M, Witt CC, Labeit D, Gregorio CC, Granzier H, Labeit S."
granzier_titin,Myocardial stiffness in patients with heart failure and a preserved ejection fraction: contributions of collagen and titin.,,2015,539,10.1161/circulationaha.114.013215,"Zile MR, Baicu CF, Ikonomidis JS, Stroud RE, Nietert PJ, Bradshaw AD, Slater R, Palmer BM, Van Buren P, Meyer M, Redfield MM, Bull DA, Granzier HL, LeWinter MM."
gotthardt_titin,"RBM20, a gene for hereditary cardiomyopathy, regulates titin splicing.",,2012,500,10.1038/nm.2693,"Guo W, Schafer S, Greaser ML, Radke MH, Liss M, Govindarajan T, Govindarajan T, Maatz H, Schulz H, Li S, Parrish AM, Dauksaite V, Vakeel P, Klaassen S, Gerull B, Thierfelder L, Regitz-Zagrosek V, Hacker TA, Saupe KW, Dec GW, Ellinor PT, MacRae CA, Spallek B, Fischer R, Perrot A, Özcelik C, Saar K, Hubner N, Gotthardt M."
granzier_titin,"Passive tension in cardiac muscle: contribution of collagen, titin, microtubules, and intermediate filaments.",,1995,499,10.1016/s0006-3495(95)80278-x,"Granzier HL, Irving TC."
granzier_titin,"The giant protein titin: a major player in myocardial mechanics, signaling, and disease.",,2004,432,10.1161/01.res.0000117769.88862.f8,"Granzier HL, Labeit S."
granzier_titin,"Mutations of TTN, encoding the giant muscle filament titin, cause familial dilated cardiomyopathy.",,2002,428,10.1038/ng815,"Gerull B, Gramlich M, Atherton J, McNabb M, Trombitás K, Sasse-Klaassen S, Seidman JG, Seidman C, Granzier H, Labeit S, Frenneaux M, Thierfelder L."
gotthardt_titin,"Integrated allelic, transcriptional, and phenomic dissection of the cardiac effects of titin truncations in health and disease.",,2015,398,10.1126/scitranslmed.3010134,"Roberts AM, Ware JS, Herman DS, Schafer S, Baksi J, Bick AG, Buchan RJ, Walsh R, John S, Wilkinson S, Mazzarotto F, Felkin LE, Gong S, MacArthur JA, Cunningham F, Flannick J, Gabriel SB, Altshuler DM, Macdonald PS, Heinig M, Keogh AM, Hayward CS, Banner NR, Pennell DJ, O'Regan DP, San TR, de Marvao A, Dawes TJ, Gulati A, Birks EJ, Yacoub MH, Radke M, Gotthardt M, Wilson JG, O'Donnell CJ, Prasad SK, Barton PJ, Fatkin D, Hubner N, Seidman JG, Seidman CE, Cook SA."
granzier_titin,"Altered titin expression, myocardial stiffness, and left ventricular function in patients with dilated cardiomyopathy.",,2004,381,10.1161/01.cir.0000135591.37759.af,"Nagueh SF, Shah G, Wu Y, Torre-Amione G, King NM, Lahmers S, Witt CC, Becker K, Labeit S, Granzier HL."
granzier_titin,Calcium-dependent molecular spring elements in the giant protein titin.,,2003,316,10.1073/pnas.2235652100,"Labeit D, Watanabe K, Witt C, Fujita H, Wu Y, Lahmers S, Funck T, Labeit S, Granzier H."
granzier_titin,Differential expression of cardiac titin isoforms and modulation of cellular stiffness.,,2000,303,10.1161/01.res.86.1.59,"Cazorla O, Freiburg A, Helmes M, Centner T, McNabb M, Wu Y, Trombitás K, Labeit S, Granzier H."
granzier_titin,Right ventricular diastolic impairment in patients with pulmonary arterial hypertension.,,2013,296,10.1161/circulationaha.113.001873,"Rain S, Handoko ML, Trip P, Gan CT, Westerhof N, Stienen GJ, Paulus WJ, Ottenheijm CA, Marcus JT, Dorfmüller P, Guignabert C, Humbert M, Macdonald P, Dos Remedios C, Postmus PE, Saripalli C, Hidalgo CG, Granzier HL, Vonk-Noordegraaf A, van der Velden J, de Man FS."
granzier_titin,Series of exon-skipping events in the elastic spring region of titin as the structural basis for myofibrillar elastic diversity.,,2000,296,10.1161/01.res.86.11.1114,"Freiburg A, Trombitas K, Hell W, Cazorla O, Fougerousse F, Centner T, Kolmerer B, Witt C, Beckmann JS, Gregorio CC, Granzier H, Labeit S."
active_force_debate,A physiological role for titin and nebulin in skeletal muscle.,,1986,292,10.1038/323160a0,"Horowits R, Kempner ES, Bisher ME, Podolsky RJ."
gotthardt_titin,Genome-wide association study of primary sclerosing cholangitis identifies new risk loci and quantifies the genetic relationship with inflammatory bowel disease.,,2017,280,10.1038/ng.3745,"Ji SG, Juran BD, Mucha S, Folseraas T, Jostins L, Melum E, Kumasaka N, Atkinson EJ, Schlicht EM, Liu JZ, Shah T, Gutierrez-Achury J, Boberg KM, Bergquist A, Vermeire S, Eksteen B, Durie PR, Farkkila M, Müller T, Schramm C, Sterneck M, Weismüller TJ, Gotthardt DN, Ellinghaus D, Braun F, Teufel A, Laudes M, Lieb W, Jacobs G, Beuers U, Weersma RK, Wijmenga C, Marschall HU, Milkiewicz P, Pares A, Kontula K, Chazouillères O, Invernizzi P, Goode E, Spiess K, Moore C, Sambrook J, Ouwehand WH, Roberts DJ, Danesh J, Floreani A, Gulamhusein AF, Eaton JE, Schreiber S, Coltescu C, Bowlus CL, Luketic VA, Odin JA, Chopra KB, Kowdley KV, Chalasani N, Manns MP, Srivastava B, Mells G, Sandford RN, Alexander G, Gaffney DJ, Chapman RW, Hirschfield GM, de Andrade M, UK-PSC Consortium, International IBD Genetics Consortium, International PSC Study Group, Rushbrook SM, Franke A, Karlsen TH, Lazaridis KN, Anderson CA."
gotthardt_titin,Smooth muscle-selective deletion of guanylyl cyclase-A prevents the acute but not chronic effects of ANP on blood pressure.,,2002,277,10.1073/pnas.102650499,"Holtwick R, Gotthardt M, Skryabin B, Steinmetz M, Potthast R, Zetsche B, Hammer RE, Herz J, Kuhn M."
granzier_titin,"The muscle ankyrin repeat proteins: CARP, ankrd2/Arpp and DARP as a family of titin filament-based stress response molecules.",,2003,274,10.1016/j.jmb.2003.09.012,"Miller MK, Bang ML, Witt CC, Labeit D, Trombitas C, Watanabe K, Granzier H, McElhinny AS, Gregorio CC, Labeit S."
granzier_titin,Developmental control of titin isoform expression and passive stiffness in fetal and neonatal myocardium.,,2004,258,10.1161/01.res.0000115522.52554.86,"Lahmers S, Wu Y, Call DR, Labeit S, Granzier H."
granzier_titin,Muscle assembly: a titanic achievement?,,1999,246,10.1016/s0955-0674(99)80003-9,"Gregorio CC, Granzier H, Sorimachi H, Labeit S."
granzier_titin,Protein kinase A phosphorylates titin's cardiac-specific N2B domain and reduces passive tension in rat cardiac myocytes.,,2002,240,10.1161/01.res.0000021115.24712.99,"Yamasaki R, Wu Y, McNabb M, Greaser M, Labeit S, Granzier H."
granzier_titin,PKC phosphorylation of titin's PEVK element: a novel and conserved pathway for modulating myocardial stiffness.,,2009,220,10.1161/circresaha.109.198465,"Hidalgo C, Hudson B, Bogomolovas J, Zhu Y, Anderson B, Greaser M, Labeit S, Granzier H."
active_force_debate,Anthracyclines induce calpain-dependent titin proteolysis and necrosis in cardiomyocytes.,,2004,219,10.1074/jbc.m308033200,"Lim CC, Zuppinger C, Guo X, Kuster GM, Helmes M, Eppenberger HM, Suter TM, Liao R, Sawyer DB."
granzier_titin,Genetic variation in titin in arrhythmogenic right ventricular cardiomyopathy-overlap syndromes.,,2011,211,10.1161/circulationaha.110.005405,"Taylor M, Graw S, Sinagra G, Barnes C, Slavov D, Brun F, Pinamonti B, Salcedo EE, Sauer W, Pyxaras S, Anderson B, Simon B, Bogomolovas J, Labeit S, Granzier H, Mestroni L."
granzier_titin,Titin-actin interaction in mouse myocardium: passive tension modulation and its regulation by calcium/S100A1.,,2001,190,10.1016/s0006-3495(01)75876-6,"Yamasaki R, Berri M, Wu Y, Trombitás K, McNabb M, Kellermayer MS, Witt C, Labeit D, Labeit S, Greaser M, Granzier H."
active_force_debate,Nicotinamide for the treatment of heart failure with preserved ejection fraction.,,2021,189,10.1126/scitranslmed.abd7064,"Abdellatif M, Trummer-Herbst V, Koser F, Durand S, Adão R, Vasques-Nóvoa F, Freundt JK, Voglhuber J, Pricolo MR, Kasa M, Türk C, Aprahamian F, Herrero-Galán E, Hofer SJ, Pendl T, Rech L, Kargl J, Anto-Michel N, Ljubojevic-Holzer S, Schipke J, Brandenberger C, Auer M, Schreiber R, Koyani CN, Heinemann A, Zirlik A, Schmidt A, von Lewinski D, Scherr D, Rainer PP, von Maltzahn J, Mühlfeld C, Krüger M, Frank S, Madeo F, Eisenberg T, Prokesch A, Leite-Moreira AF, Lourenço AP, Alegre-Cebollada J, Kiechl S, Linke WA, Kroemer G, Sedej S."
gotthardt_titin,RNA-binding protein RBM20 represses splicing to orchestrate cardiac pre-mRNA processing.,,2014,189,10.1172/jci74523,"Maatz H, Jens M, Liss M, Schafer S, Heinig M, Kirchner M, Adami E, Rintisch C, Dauksaite V, Radke MH, Selbach M, Barton PJ, Cook SA, Rajewsky N, Gotthardt M, Landthaler M, Hubner N."
granzier_titin,Titin extensibility in situ: entropic elasticity of permanently folded and permanently unfolded molecular segments.,,1998,187,10.1083/jcb.140.4.853,"Trombitás K, Greaser M, Labeit S, Jin JP, Kellermayer M, Helmes M, Granzier H."
granzier_titin,Titin-based modulation of calcium sensitivity of active tension in mouse skinned cardiac myocytes.,,2001,178,10.1161/hh1001.090876,"Cazorla O, Wu Y, Irving TC, Granzier H."
granzier_titin,Titin develops restoring force in rat cardiac myocytes.,,1996,164,10.1161/01.res.79.3.619,"Helmes M, Trombitás K, Granzier H."
granzier_titin,Cardiac titin: an adjustable multi-functional spring.,,2002,164,10.1113/jphysiol.2001.014381,"Granzier H, Labeit S."
active_force_debate,Regulation of muscle force in the absence of actin-myosin-based cross-bridge interaction.,,2010,163,10.1152/ajpcell.00049.2010,"Leonard TR, Herzog W."
granzier_titin,Changes in titin and collagen underlie diastolic stiffness diversity of cardiac muscle.,,2000,163,10.1006/jmcc.2000.1281,"Wu Y, Cazorla O, Labeit D, Labeit S, Granzier H."
granzier_titin,Phosphorylation of titin modulates passive stiffness of cardiac muscle in a titin isoform-dependent manner.,,2005,161,10.1085/jgp.200409177,"Fukuda N, Wu Y, Nair P, Granzier HL."
active_force_debate,The giant protein titin. Emerging roles in physiology and pathophysiology.,,1997,160,10.1161/01.res.80.2.290,"Labeit S, Kolmerer B, Linke WA."
granzier_titin,Titin is a target of matrix metalloproteinase-2: implications in myocardial ischemia/reperfusion injury.,,2010,158,10.1161/circulationaha.109.930222,"Ali MA, Cho WJ, Hudson B, Kassiri Z, Granzier H, Schulz R."
gotthardt_titin,Clinical genetics and outcome of left ventricular non-compaction cardiomyopathy.,,2017,158,10.1093/eurheartj/ehx545,"Sedaghat-Hamedani F, Haas J, Zhu F, Geier C, Kayvanpour E, Liss M, Lai A, Frese K, Pribe-Wolferts R, Amr A, Li DT, Samani OS, Carstensen A, Bordalo DM, Müller M, Fischer C, Shao J, Wang J, Nie M, Yuan L, Haßfeld S, Schwartz C, Zhou M, Zhou Z, Shu Y, Wang M, Huang K, Zeng Q, Cheng L, Fehlmann T, Ehlermann P, Keller A, Dieterich C, Streckfuß-Bömeke K, Liao Y, Gotthardt M, Katus HA, Meder B."
active_force_debate,Is titin a 'winding filament'? A new twist on muscle contraction.,,2012,150,10.1098/rspb.2011.1304,"Nishikawa KC, Monroy JA, Uyeno TE, Yeo SH, Pai DK, Lindstedt SL."
gotthardt_titin,Recessive TTN truncating mutations define novel forms of core myopathy with heart disease.,,2014,145,10.1093/hmg/ddt494,"Chauveau C, Bonnemann CG, Julien C, Kho AL, Marks H, Talim B, Maury P, Arne-Bes MC, Uro-Coste E, Alexandrovich A, Vihola A, Schafer S, Kaufmann B, Medne L, Hübner N, Foley AR, Santi M, Udd B, Topaloglu H, Moore SA, Gotthardt M, Samuels ME, Gautel M, Ferreiro A."
granzier_titin,Targeted deletion of titin N2B region leads to diastolic dysfunction and cardiac atrophy.,,2007,142,10.1073/pnas.0608543104,"Radke MH, Peng J, Wu Y, McNabb M, Nelson OL, Granzier H, Gotthardt M."
granzier_titin,Changes in titin isoform expression in pacing-induced cardiac failure give rise to increased passive muscle stiffness.,,2002,140,10.1161/01.cir.0000029804.61510.02,"Wu Y, Bell SP, Trombitas K, Witt CC, Labeit S, LeWinter MM, Granzier H."
granzier_titin,Experimentally increasing titin compliance in a novel mouse model attenuates the Frank-Starling mechanism but has a beneficial effect on diastole.,,2014,130,10.1161/circulationaha.113.005610,"Methawasin M, Hutchinson KR, Lee EJ, Smith JE, Saripalli C, Hidalgo CG, Ottenheijm CA, Granzier H."
gotthardt_titin,"Evolutionary origins and interactomes of human, young microproteins and small peptides translated from short open reading frames.",,2023,130,10.1016/j.molcel.2023.01.023,"Sandmann CL, Schulz JF, Ruiz-Orera J, Kirchner M, Ziehm M, Adami E, Marczenke M, Christ A, Liebe N, Greiner J, Schoenenberger A, Muecke MB, Liang N, Moritz RL, Sun Z, Deutsch EW, Gotthardt M, Mudge JM, Prensner JR, Willnow TE, Mertins P, van Heesch S, Hubner N."
granzier_titin,Cardiac titin and heart disease.,,2014,126,10.1097/fjc.0000000000000007,"LeWinter MM, Granzier HL."
granzier_titin,Mechanically driven contour-length adjustment in rat cardiac titin's unique N2B sequence: titin is an adjustable spring.,,1999,124,10.1161/01.res.84.11.1339,"Helmes M, Trombitás K, Centner T, Kellermayer M, Labeit S, Linke WA, Granzier H."
active_force_debate,Mechanisms of enhanced force production in lengthening (eccentric) muscle contractions.,,2014,121,10.1152/japplphysiol.00069.2013,Herzog W.
granzier_titin,Molecular mechanics of cardiac titin's PEVK and N2B spring elements.,,2002,113,10.1074/jbc.m200356200,"Watanabe K, Nair P, Labeit D, Kellermayer MS, Greaser M, Labeit S, Granzier H."
active_force_debate,The allosteric role of the Ca2+ switch in adhesion and elasticity of C-cadherin.,,2008,111,10.1529/biophysj.107.125591,"Sotomayor M, Schulten K."
active_force_debate,The multiple roles of titin in muscle contraction and force production.,,2018,111,10.1007/s12551-017-0395-y,Herzog W.
active_force_debate,Force enhancement following stretch in a single sarcomere.,,2010,110,10.1152/ajpcell.00222.2010,"Leonard TR, DuVall M, Herzog W."
active_force_debate,"Calpain 3, the ""gatekeeper"" of proper sarcomere assembly, turnover and maintenance.",,2008,109,10.1016/j.nmd.2008.08.005,"Beckmann JS, Spencer M."
granzier_titin,Conditional expression of mutant M-line titins results in cardiomyopathy with altered sarcomere structure.,,2003,107,10.1074/jbc.m211723200,"Gotthardt M, Hammer RE, Hübner N, Monti J, Witt CC, McNabb M, Richardson JA, Granzier H, Labeit S, Herz J."
granzier_titin,Heart rate reduction by If-inhibition improves vascular stiffness and left ventricular systolic and diastolic function in a mouse model of heart failure with preserved ejection fraction.,,2013,107,10.1093/eurheartj/ehs218,"Reil JC, Hohl M, Reil GH, Granzier HL, Kratz MT, Kazakov A, Fries P, Müller A, Lenski M, Custodis F, Gräber S, Fröhlig G, Steendijk P, Neuberger HR, Böhm M."
active_force_debate,Titin-induced force enhancement and force depression: a 'sticky-spring' mechanism in muscle contractions?,,2009,106,10.1016/j.jtbi.2009.03.015,"Rode C, Siebert T, Blickhan R."
granzier_titin,Experimentally Increasing the Compliance of Titin Through RNA Binding Motif-20 (RBM20) Inhibition Improves Diastolic Function In a Mouse Model of Heart Failure With Preserved Ejection Fraction.,,2016,103,10.1161/circulationaha.116.023003,"Methawasin M, Strom JG, Slater RE, Fernandez V, Saripalli C, Granzier H."
active_force_debate,The origin of passive force enhancement in skeletal muscle.,,2008,103,10.1152/ajpcell.00218.2007,"Joumaa V, Rassier DE, Leonard TR, Herzog W."
granzier_titin,Calcium-dependent inhibition of in vitro thin-filament motility by native titin.,,1996,101,10.1016/0014-5793(96)00055-5,"Kellermayer MS, Granzier HL."
granzier_titin,Titin isoform variance and length dependence of activation in skinned bovine cardiac muscle.,,2003,100,10.1113/jphysiol.2003.049759,"Fukuda N, Wu Y, Farman G, Irving TC, Granzier H."
granzier_titin,Passive tension and stiffness of vertebrate skeletal and insect flight muscles: the contribution of weak cross-bridges and elastic filaments.,,1993,99,10.1016/s0006-3495(93)81262-1,"Granzier HL, Wang K."
active_force_debate,Titin as a force-generating muscle protein under regulatory control.,,2019,97,10.1152/japplphysiol.00865.2018,"Freundt JK, Linke WA."
granzier_titin,Structure-function relations of the giant elastic protein titin in striated and smooth muscle cells.,,2007,97,10.1002/mus.20886,"Granzier H, Labeit S."
active_force_debate,Mechanical properties of isolated cardiac myocytes.,,1991,95,10.1152/physrev.1991.71.2.413,Brady AJ.
active_force_debate,Ca2+ activation of diffusible and bound pools of mu-calpain in rat skeletal muscle.,,2006,94,10.1113/jphysiol.2006.114090,"Murphy RM, Verburg E, Lamb GD."
granzier_titin,"Cardiac titin: structure, functions and role in disease.",,2007,94,10.1016/j.cca.2006.06.035,"LeWinter MM, Wu Y, Labeit S, Granzier H."
granzier_titin,Titin elasticity and mechanism of passive force development in rat cardiac myocytes probed by thin-filament extraction.,,1997,93,10.1016/s0006-3495(97)78234-1,"Granzier H, Kellermayer M, Helmes M, Trombitás K."
active_force_debate,Calpain 3: a key regulator of the sarcomere?,,2006,93,10.1111/j.1742-4658.2006.05351.x,"Duguez S, Bartoli M, Richard I."
granzier_titin,Tuning the molecular giant titin through phosphorylation: role in health and disease.,,2013,93,10.1016/j.tcm.2012.10.005,"Hidalgo C, Granzier H."
