theme,title,journal,year,cites,key,ref
Titin elasticity & PEVK spring,Myocardial stiffness in patients with heart failure and a preserved ejection fraction: contributions of collagen and titin.,Circulation,2015,539,10.1161/circulationaha.114.013215,"Myocardial stiffness in patients with heart failure and a preserved ejection fraction: contributions of collagen and titin. — Circulation, 2015. doi:10.1161/circulationaha.114.013215 (539 cites)"
Titin elasticity & PEVK spring,Titin Gene and Protein Functions in Passive and Active Muscle.,Annual review of physiology,2018,169,10.1146/annurev-physiol-021317-121234,"Titin Gene and Protein Functions in Passive and Active Muscle. — Annual review of physiology, 2018. doi:10.1146/annurev-physiol-021317-121234 (169 cites)"
Z-disc / Z-band,"Muscle structure, sarcomere length and influences on meat quality: A review.",Meat science,2017,156,10.1016/j.meatsci.2017.04.261,"Muscle structure, sarcomere length and influences on meat quality: A review. — Meat science, 2017. doi:10.1016/j.meatsci.2017.04.261 (156 cites)"
Thick filament / myosin,Titin strain contributes to the Frank-Starling law of the heart by structural rearrangements of both thin- and thick-filament proteins.,Proceedings of the National Academy of Sciences of the United States of America,2016,154,10.1073/pnas.1516732113,"Titin strain contributes to the Frank-Starling law of the heart by structural rearrangements of both thin- and thick-filament proteins. — Proceedings of the National Academy of Sciences of the United States of America, 2016. doi:10.1073/pnas.1516732113 (154 cites)"
Thick filament / myosin,Cryo-EM structure of the human cardiac myosin filament.,Nature,2023,147,10.1038/s41586-023-06691-4,"Cryo-EM structure of the human cardiac myosin filament. — Nature, 2023. doi:10.1038/s41586-023-06691-4 (147 cites)"
Titin domain architecture (Ig/Fn3),Work Done by Titin Protein Folding Assists Muscle Contraction.,Cell reports,2016,143,10.1016/j.celrep.2016.01.025,"Work Done by Titin Protein Folding Assists Muscle Contraction. — Cell reports, 2016. doi:10.1016/j.celrep.2016.01.025 (143 cites)"
Z-disc / Z-band,"Force Generation via β-Cardiac Myosin, Titin, and α-Actinin Drives Cardiac Sarcomere Assembly from Cell-Matrix Adhesions.",Developmental cell,2018,140,10.1016/j.devcel.2017.12.012,"Force Generation via β-Cardiac Myosin, Titin, and α-Actinin Drives Cardiac Sarcomere Assembly from Cell-Matrix Adhesions. — Developmental cell, 2018. doi:10.1016/j.devcel.2017.12.012 (140 cites)"
Thick filament / myosin,Structure of the native myosin filament in the relaxed cardiac sarcomere.,Nature,2023,129,10.1038/s41586-023-06690-5,"Structure of the native myosin filament in the relaxed cardiac sarcomere. — Nature, 2023. doi:10.1038/s41586-023-06690-5 (129 cites)"
Z-disc / Z-band,The molecular basis for sarcomere organization in vertebrate skeletal muscle.,Cell,2021,125,10.1016/j.cell.2021.02.047,"The molecular basis for sarcomere organization in vertebrate skeletal muscle. — Cell, 2021. doi:10.1016/j.cell.2021.02.047 (125 cites)"
Sarcomere lattice & mechanics,The multiple roles of titin in muscle contraction and force production.,Biophysical reviews,2018,111,10.1007/s12551-017-0395-y,"The multiple roles of titin in muscle contraction and force production. — Biophysical reviews, 2018. doi:10.1007/s12551-017-0395-y (111 cites)"
Thin filament / actin-tropomyosin,Thick filament mechano-sensing is a calcium-independent regulatory mechanism in skeletal muscle.,Nature communications,2016,108,10.1038/ncomms13281,"Thick filament mechano-sensing is a calcium-independent regulatory mechanism in skeletal muscle. — Nature communications, 2016. doi:10.1038/ncomms13281 (108 cites)"
Z-disc / Z-band,Increasing Role of Titin Mutations in Neuromuscular Disorders.,Journal of neuromuscular diseases,2016,106,10.3233/jnd-160158,"Increasing Role of Titin Mutations in Neuromuscular Disorders. — Journal of neuromuscular diseases, 2016. doi:10.3233/jnd-160158 (106 cites)"
Titin elasticity & PEVK spring,"Titin (TTN): from molecule to modifications, mechanics, and medical significance.",Cardiovascular research,2022,105,10.1093/cvr/cvab328,"Titin (TTN): from molecule to modifications, mechanics, and medical significance. — Cardiovascular research, 2022. doi:10.1093/cvr/cvab328 (105 cites)"
M-band / M-line,Truncated titin proteins and titin haploinsufficiency are targets for functional recovery in human cardiomyopathy due to <i>TTN</i> mutations.,Science translational medicine,2021,105,10.1126/scitranslmed.abd3079,"Truncated titin proteins and titin haploinsufficiency are targets for functional recovery in human cardiomyopathy due to <i>TTN</i> mutations. — Science translational medicine, 2021. doi:10.1126/scitranslmed.abd3079 (105 cites)"
Titin domain architecture (Ig/Fn3),Dynamics of equilibrium folding and unfolding transitions of titin immunoglobulin domain under constant forces.,Journal of the American Chemical Society,2015,102,10.1021/ja5119368,"Dynamics of equilibrium folding and unfolding transitions of titin immunoglobulin domain under constant forces. — Journal of the American Chemical Society, 2015. doi:10.1021/ja5119368 (102 cites)"
Titin domain architecture (Ig/Fn3),Titin as a force-generating muscle protein under regulatory control.,"Journal of applied physiology (Bethesda, Md. : 1985)",2019,97,10.1152/japplphysiol.00865.2018,"Titin as a force-generating muscle protein under regulatory control. — Journal of applied physiology (Bethesda, Md. : 1985), 2019. doi:10.1152/japplphysiol.00865.2018 (97 cites)"
Titin elasticity & PEVK spring,Calcium increases titin N2A binding to F-actin and regulated thin filaments.,Scientific reports,2018,88,10.1038/s41598-018-32952-8,"Calcium increases titin N2A binding to F-actin and regulated thin filaments. — Scientific reports, 2018. doi:10.1038/s41598-018-32952-8 (88 cites)"
Z-disc / Z-band,A Review of the Giant Protein Titin in Clinical Molecular Diagnostics of Cardiomyopathies.,Frontiers in cardiovascular medicine,2016,88,10.3389/fcvm.2016.00021,"A Review of the Giant Protein Titin in Clinical Molecular Diagnostics of Cardiomyopathies. — Frontiers in cardiovascular medicine, 2016. doi:10.3389/fcvm.2016.00021 (88 cites)"
M-band / M-line,The M-band: The underestimated part of the sarcomere.,Biochimica et biophysica acta. Molecular cell research,2020,81,10.1016/j.bbamcr.2019.02.003,"The M-band: The underestimated part of the sarcomere. — Biochimica et biophysica acta. Molecular cell research, 2020. doi:10.1016/j.bbamcr.2019.02.003 (81 cites)"
Titin domain architecture (Ig/Fn3),Folding pathway of an Ig domain is conserved on and off the ribosome.,Proceedings of the National Academy of Sciences of the United States of America,2018,81,10.1073/pnas.1810523115,"Folding pathway of an Ig domain is conserved on and off the ribosome. — Proceedings of the National Academy of Sciences of the United States of America, 2018. doi:10.1073/pnas.1810523115 (81 cites)"
Titin domain architecture (Ig/Fn3),Disulfide isomerization reactions in titin immunoglobulin domains enable a mode of protein elasticity.,Nature communications,2018,77,10.1038/s41467-017-02528-7,"Disulfide isomerization reactions in titin immunoglobulin domains enable a mode of protein elasticity. — Nature communications, 2018. doi:10.1038/s41467-017-02528-7 (77 cites)"
