title,journal,year,cites,doi,authorString
"A structural approach to understanding the interactions between colour, water-holding capacity and tenderness.",,2014,304,10.1016/j.meatsci.2014.05.022,"Hughes JM, Oiseth SK, Purslow PP, Warner RD."
Myofilament length dependent activation.,,2010,232,10.1016/j.yjmcc.2009.12.017,"de Tombe PP, Mateja RD, Tachampa K, Ait Mou Y, Farman GP, Irving TC."
Titin-based modulation of calcium sensitivity of active tension in mouse skinned cardiac myocytes.,,2001,178,10.1161/hh1001.090876,"Cazorla O, Wu Y, Irving TC, Granzier H."
Titin strain contributes to the Frank-Starling law of the heart by structural rearrangements of both thin- and thick-filament proteins.,,2016,154,10.1073/pnas.1516732113,"Ait-Mou Y, Hsu K, Farman GP, Kumar M, Greaser ML, Irving TC, de Tombe PP."
"Relationship between meat structure, water mobility, and distribution: a low-field nuclear magnetic resonance study.",,2002,150,10.1021/jf010738f,"Bertram HC, Purslow PP, Andersen HJ."
Length dependence of tension generation in rat skinned cardiac muscle: role of titin in the Frank-Starling mechanism of the heart.,,2001,132,10.1161/hc3901.095898,"Fukuda N, Sasaki D, Ishiwata S, Kurihara S."
The Frank-Starling mechanism in vertebrate cardiac myocytes.,,2008,131,10.1242/jeb.003145,"Shiels HA, White E."
Myofilament lattice spacing as a function of sarcomere length in isolated rat myocardium.,,2000,122,10.1152/ajpheart.2000.279.5.h2568,"Irving TC, Konhilas J, Perry D, Fischetti R, de Tombe PP."
Troponin I in the murine myocardium: influence on length-dependent activation and interfilament spacing.,,2003,119,10.1113/jphysiol.2002.038117,"Konhilas JP, Irving TC, Wolska BM, Jweied EE, Martin AF, Solaro RJ, de Tombe PP."
Myofilament calcium sensitivity in skinned rat cardiac trabeculae: role of interfilament spacing.,,2002,111,10.1161/hh0102.102269,"Konhilas JP, Irving TC, de Tombe PP."
Age-related slowing of myosin actin cross-bridge kinetics is sex specific and predicts decrements in whole skeletal muscle performance in humans.,,2013,109,10.1152/japplphysiol.00563.2013,"Miller MS, Bedrin NG, Callahan DM, Previs MJ, Jennings ME, Ades PA, Maughan DW, Palmer BM, Toth MJ."
Protein kinase A-mediated phosphorylation of cMyBP-C increases proximity of myosin heads to actin in resting myocardium.,,2008,103,10.1161/circresaha.108.178996,"Colson BA, Bekyarova T, Locher MR, Fitzsimons DP, Irving TC, Moss RL."
Titin isoform variance and length dependence of activation in skinned bovine cardiac muscle.,,2003,100,10.1113/jphysiol.2003.049759,"Fukuda N, Wu Y, Farman G, Irving TC, Granzier H."
Assessment of Skeletal Muscle Contractile Properties by Radial Displacement: The Case for Tensiomyography.,,2018,98,10.1007/s40279-018-0912-6,"Macgregor LJ, Hunter AM, Orizio C, Fairweather MM, Ditroilo M."
Sarcomere length versus interfilament spacing as determinants of cardiac myofilament Ca2+ sensitivity and Ca2+ binding.,,1996,93,10.1006/jmcc.1996.0129,"Fuchs F, Wang YP."
Changes in the lateral filament spacing of skinned muscle fibres when cross-bridges attach.,,1984,92,10.1016/0022-2836(84)90401-7,"Matsubara I, Goldman YE, Simmons RM."
Length-dependent activation in three striated muscle types of the rat.,,2002,91,10.1113/jphysiol.2002.024505,"Konhilas JP, Irving TC, de Tombe PP."
Myosin filament assembly in an ever-changing myofilament lattice of smooth muscle.,,2005,84,10.1152/ajpcell.00329.2005,Seow CY.
The length-tension curve in muscle depends on lattice spacing.,,2013,82,10.1098/rspb.2013.0697,"Williams CD, Salcedo MK, Irving TC, Regnier M, Daniel TL."
Length-dependent Ca(2+) activation in cardiac muscle: some remaining questions.,,2005,81,10.1007/s10974-005-9011-z,"Fuchs F, Martyn DA."
Thick-filament strain and interfilament spacing in passive muscle: effect of titin-based passive tension.,,2011,81,10.1016/j.bpj.2011.01.059,"Irving T, Wu Y, Bekyarova T, Farman GP, Fukuda N, Granzier H."
Titin determines the Frank-Starling relation in early diastole.,,2003,80,10.1085/jgp.20028652,"Helmes M, Lim CC, Liao R, Bharti A, Cui L, Sawyer DB."
Role of calcium sensitivity modulation in skeletal muscle performance.,,2003,74,10.1152/nips.01456.2003,MacIntosh BR.
Mouse intact cardiac myocyte mechanics: cross-bridge and titin-based stress in unactivated cells.,,2011,74,10.1085/jgp.201010499,"King NM, Methawasin M, Nedrud J, Harrell N, Chung CS, Helmes M, Granzier H."
Radial displacement of myosin cross-bridges in mouse myocardium due to ablation of myosin binding protein-C.,,2007,73,10.1016/j.jmb.2006.12.063,"Colson BA, Bekyarova T, Fitzsimons DP, Irving TC, Moss RL."
Structural Determinants of Muscle Gearing During Dynamic Contractions.,,2018,72,10.1093/icb/icy054,"Eng CM, Azizi E, Roberts TJ."
Three-dimensional geometrical changes of the human tibialis anterior muscle and its central aponeurosis measured with three-dimensional ultrasound during isometric contractions.,,2016,72,10.7717/peerj.2260,"Raiteri BJ, Cresswell AG, Lichtwark GA."
Titin-based modulation of active tension and interfilament lattice spacing in skinned rat cardiac muscle.,,2005,69,10.1007/s00424-004-1354-6,"Fukuda N, Wu Y, Farman G, Irving TC, Granzier H."
Variations in meat colour due to factors other than myoglobin chemistry; a synthesis of recent findings (invited review).,,2020,68,10.1016/j.meatsci.2019.107941,"Purslow PP, Warner RD, Clarke FM, Hughes JM."
Disuse-induced preferential loss of the giant protein titin depresses muscle performance via abnormal sarcomeric organization.,,2008,67,10.1085/jgp.200709888,"Udaka J, Ohmori S, Terui T, Ohtsuki I, Ishiwata S, Kurihara S, Fukuda N."
Equatorial x-ray diffraction from single skinned rabbit psoas fibers at various degrees of activation. Changes in intensities and lattice spacing.,,1985,67,10.1016/s0006-3495(85)83841-8,"Brenner B, Yu LC."
PEVK extension of human soleus muscle titin revealed by immunolabeling with the anti-titin antibody 9D10.,,1998,67,10.1006/jsbi.1998.3984,"Trombitás K, Greaser M, French G, Granzier H."
Thin filament protein dynamics in fully differentiated adult cardiac myocytes: toward a model of sarcomere maintenance.,,1999,64,10.1083/jcb.145.7.1483,"Michele DE, Albayya FP, Metzger JM."
X-ray diffraction observations of chemically skinned frog skeletal muscle processed by an improved method.,,1980,62,10.1016/s0006-3495(80)85074-0,"Magid A, Reedy MK."
Shifting gears: dynamic muscle shape changes and force-velocity behavior in the medial gastrocnemius.,,2017,61,10.1152/japplphysiol.01050.2016,"Dick TJM, Wakeling JM."
Resistance to radial expansion limits muscle strain and work.,,2017,61,10.1007/s10237-017-0909-3,"Azizi E, Deslauriers AR, Holt NC, Eaton CE."
The Conformation of Myosin Heads in Relaxed Skeletal Muscle: Implications for Myosin-Based Regulation.,,2015,58,10.1016/j.bpj.2015.06.038,"Fusi L, Huang Z, Irving M."
Aberrant post-translational modifications compromise human myosin motor function in old age.,,2015,55,10.1111/acel.12307,"Li M, Ogilvie H, Ochala J, Artemenko K, Iwamoto H, Yagi N, Bergquist J, Larsson L."
The effect of lattice spacing change on cross-bridge kinetics in chemically skinned rabbit psoas muscle fibers. I. Proportionality between the lattice spacing and the fiber width.,,1993,55,10.1016/s0006-3495(93)81356-0,"Kawai M, Wray JS, Zhao Y."
Axial and radial forces of cross-bridges depend on lattice spacing.,,2010,55,10.1371/journal.pcbi.1001018,"Williams CD, Regnier M, Daniel TL."
"Osmotic compression of skinned cardiac and skeletal muscle bundles: effects on force generation, Ca2+ sensitivity and Ca2+ binding.",,1995,54,10.1016/s0022-2828(05)82385-5,"Wang YP, Fuchs F."
Small-angle X-ray scattering reveals the N-terminal domain organization of cardiac myosin binding protein C.,,2008,54,10.1016/j.jmb.2008.01.080,"Jeffries CM, Whitten AE, Harris SP, Trewhella J."
Stress-dependent activation of myosin in the heart requires thin filament activation and thick filament mechanosensing.,,2021,51,10.1073/pnas.2023706118,"Park-Holohan SJ, Brunello E, Kampourakis T, Rees M, Irving M, Fusi L."
Impact of osmotic compression on sarcomere structure and myofilament calcium sensitivity of isolated rat myocardium.,,2006,50,10.1152/ajpheart.01237.2005,"Farman GP, Walker JS, de Tombe PP, Irving TC."
Myosin head orientation: a structural determinant for the Frank-Starling relationship.,,2011,50,10.1152/ajpheart.01221.2010,"Farman GP, Gore D, Allen E, Schoenfelt K, Irving TC, de Tombe PP."
"Co-ordinated electron microscopy and X-ray studies of glycerinated insect flight muscle. I. X-ray diffraction monitoring during preparation for electron microscopy of muscle fibres fixed in rigor, in ATP and in AMPPNP.",,1983,50,10.1007/bf00711957,"Reedy MK, Goody RS, Hofmann W, Rosenbaum G."
