pdb,method,resolution,title,year,region
1BPV,SOLUTION NMR,,"TITIN MODULE A71 FROM HUMAN CARDIAC MUSCLE, NMR, 50 STRUCTURES",1999,A-band
1G1C,X-RAY DIFFRACTION,2.1,I1 DOMAIN FROM TITIN,2001,I-band
1NCT,SOLUTION NMR,,"TITIN MODULE M5, N-TERMINALLY EXTENDED, NMR",1996,M-line
1NCU,SOLUTION NMR,,"Titin Module M5, N-terminally Extended, NMR",1996,M-line
1TIT,SOLUTION NMR,,"TITIN, IG REPEAT 27, NMR, MINIMIZED AVERAGE STRUCTURE",1996,I-band
1TIU,SOLUTION NMR,,"TITIN, IG REPEAT 27, NMR, 24 STRUCTURES",1996,I-band
1TKI,X-RAY DIFFRACTION,2.0,AUTOINHIBITED SERINE KINASE DOMAIN OF THE GIANT MUSCLE PROTEIN TITIN,1999,kinase (A/M junction)
1TNM,SOLUTION NMR,,TERTIARY STRUCTURE OF AN IMMUNOGLOBULIN-LIKE DOMAIN FROM THE GIANT MUSCLE PROTEIN TITIN: A NEW MEMBER OF THE I SET,1995,I-band
1TNN,SOLUTION NMR,,Tertiary structure of an immunoglobulin-like domain from the giant muscle protein titin: a new member of the I set,1995,I-band
1WAA,X-RAY DIFFRACTION,1.8,IG27 protein domain,2006,I-band
1YA5,X-RAY DIFFRACTION,2.445,Crystal structure of the titin domains z1z2 in complex with telethonin,2005,Z-disc
2A38,X-RAY DIFFRACTION,2.0,Crystal structure of the N-Terminus of titin,2006,Z-disc
2BK8,X-RAY DIFFRACTION,1.69,M1 domain from titin,2006,M-line
2F8V,X-RAY DIFFRACTION,2.75,Structure of full length telethonin in complex with the N-terminus of titin,2006,Z-disc
2ILL,X-RAY DIFFRACTION,2.2,Anomalous substructure of Titin-A168169,2007,A-band
2J8H,X-RAY DIFFRACTION,1.99,Structure of the immunoglobulin tandem repeat A168-A169 of titin,2007,A-band
2J8O,X-RAY DIFFRACTION,2.49,Structure of the immunoglobulin tandem repeat of titin A168-A169,2007,A-band
2NZI,X-RAY DIFFRACTION,2.9,Crystal structure of domains A168-A170 from titin,2007,A-band
2RQ8,SOLUTION NMR,,Solution NMR structure of titin I27 domain mutant,2010,I-band
2WP3,X-RAY DIFFRACTION,1.48,Crystal structure of the Titin M10-Obscurin like 1 Ig complex,2010,M-line
2WWK,X-RAY DIFFRACTION,1.7,Crystal structure of the Titin M10-Obscurin like 1 Ig F17R mutant complex,2010,M-line
2WWM,X-RAY DIFFRACTION,2.3,Crystal structure of the Titin M10-Obscurin like 1 Ig complex in space group P1,2010,M-line
2Y9R,X-RAY DIFFRACTION,1.9000000000000001,Crystal structure of the M10 domain of Titin,2011,M-line
3B43,X-RAY DIFFRACTION,3.3,I-band fragment I65-I70 from titin,2008,I-band
3KNB,X-RAY DIFFRACTION,1.4,Crystal structure of the titin C-terminus in complex with obscurin-like 1,2009,M-line
3LCY,X-RAY DIFFRACTION,2.5,Titin Ig tandem domains A164-A165,2011,A-band
3LPW,X-RAY DIFFRACTION,1.65,Crystal structure of the FnIII-tandem A77-A78 from the A-band of titin,2010,A-band
3PUC,X-RAY DIFFRACTION,0.96,Atomic resolution structure of titin domain M7,2011,M-line
3Q5O,X-RAY DIFFRACTION,2.05,Crystal structure of human titin domain M10,2012,M-line
3QP3,X-RAY DIFFRACTION,1.997,"Crystal structure of titin domain M4, tetragonal form",2012,M-line
4C4K,X-RAY DIFFRACTION,1.95,Crystal structure of the titin M10-Obscurin Ig domain 1 complex,2014,M-line
4JNW,X-RAY DIFFRACTION,2.06,Bacterially expressed Titin Kinase,2014,kinase (A/M junction)
4O00,X-RAY DIFFRACTION,1.853,Crystal structure of the Titin A-band domain A3,2014,A-band
4QEG,X-RAY DIFFRACTION,2.0,Crystal structure of domain I10 from titin (space group P41),2015,I-band
4UOW,X-RAY DIFFRACTION,3.3,Crystal structure of the titin M10-Obscurin Ig domain 1 complex,2014,M-line
5BS0,X-RAY DIFFRACTION,2.4,MAGE-A3 Reactive TCR in complex with Titin Epitope in HLA-A1,2016,epitope/immunology (not structural)
5JDD,X-RAY DIFFRACTION,1.53,Crystal structure of I9-I11 tandem from titin (P212121),2016,I-band
5JDE,X-RAY DIFFRACTION,1.9000000000000001,Crystal structure of I9-I11 tandem from titin (P1),2016,I-band
5JDJ,X-RAY DIFFRACTION,1.738,Crystal structure of domain I10 from titin in space group P212121,2016,I-band
5JOE,X-RAY DIFFRACTION,2.0,Crystal structure of I81 from titin,2016,I-band
6DL4,SOLUTION NMR,,Human Titin ZIg10,2019,Z-disc
6FWX,X-RAY DIFFRACTION,3.0,Chimeric titin Z1Z2-Z1Z2 tandem (Z1212) functionalized with a GRGDS exogenous peptide from fibronectin,2019,Z-disc
6H4L,X-RAY DIFFRACTION,1.6,Structure of Titin M4 trigonal form,2019,M-line
6HCI,X-RAY DIFFRACTION,2.12,Crystal structure of titin M3 domain,2019,M-line
6I0Y,ELECTRON MICROSCOPY,3.2,TnaC-stalled ribosome complex with the titin I27 domain folding close to the ribosomal exit tunnel,2018,I-band
6SDB,X-RAY DIFFRACTION,2.8,Chimeric titin Z1Z2 functionalized with a KLER exogenous peptide from decorin,2019,Z-disc
6YGN,X-RAY DIFFRACTION,2.4,Titin kinase and its flanking domains,2021,kinase (A/M junction)
7AHS,X-RAY DIFFRACTION,2.05,titin-N2A Ig81-Ig83,2021,I-band
7NIP,SOLUTION NMR,,titin N2A unique sequence (UN2A) core,2021,I-band
8BNQ,X-RAY DIFFRACTION,2.3,Crystal structure of the FnIII-tandem A84-A86 from the A-band of titin,2023,A-band
8BVO,X-RAY DIFFRACTION,2.55,Titin I110-I111 FnIII tandem from the MIR region (I/A5-I/A6),2023,A-band
8BW6,X-RAY DIFFRACTION,1.95,Titin FnIII-domain I110 (I/A6) from the MIR region,2023,A-band
8BXR,X-RAY DIFFRACTION,2.7,Titin FnIII-domain I109-I111 (I/A4-A/A6) from the MIR region,2023,A-band
8G4L,ELECTRON MICROSCOPY,6.4,Cryo-EM structure of the human cardiac myosin filament,2023,"A-band (thick filament, cryo-EM)"
8OIY,X-RAY DIFFRACTION,2.1,Crystal structure of the R15908H missense variant of titin domain Fn3-3,2023,A-band
8OMW,X-RAY DIFFRACTION,1.05,Crystal structure of the titin domain Fn3-20,2023,A-band
8OQ9,X-RAY DIFFRACTION,1.65,Crystal structure of the titin domain Fn3-56,2023,A-band
8ORL,X-RAY DIFFRACTION,1.43,Crystal structure of the S23226G missense variant of titin domain Fn3-56,2023,A-band
8OS3,X-RAY DIFFRACTION,1.68,Crystal structure of the titin domain Fn3-11,2023,A-band
8OSD,X-RAY DIFFRACTION,1.7,Crystal structure of the titin domain Fn3-49,2023,A-band
8OT5,X-RAY DIFFRACTION,1.56,Crystal structure of the titin domain Fn3-85,2023,A-band
8OTY,X-RAY DIFFRACTION,1.9000000000000001,Crystal structure of the titin domain Fn3-90,2023,A-band
8OVU,X-RAY DIFFRACTION,1.95,Human titin immunoglobulin-like 21 domain,2023,I-band
8P35,X-RAY DIFFRACTION,2.2,Mutant human titin immunoglobulin-like 21 domain - C3575S,2023,I-band
